id,coder,is_icr,is_economy,tone_raw,tone
150282317,14,FALSE,1,vooral negatief,-1
150282315,14,FALSE,1,vooral negatief,-1
150282314,14,FALSE,1,onzeker,0
150282313,14,FALSE,1,vooral positief,1
150282312,14,FALSE,1,vooral negatief,-1
20629,21,FALSE,1,de kop is niet van toepassing op de economie,NA
34537,35,FALSE,1,vooral negatief,-1
20641,21,FALSE,1,vooral negatief,-1
20643,33,FALSE,1,vooral negatief,-1
20647,35,FALSE,1,"neutraal, geen toon",0
15011,6,FALSE,1,"neutraal, geen toon",0
20661,32,FALSE,1,"neutraal, geen toon",0
150293217,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150293213,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150292297,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150292294,16,FALSE,1,vooral negatief,-1
150292293,16,FALSE,1,"neutraal, geen toon",0
150292292,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150292290,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150290849,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150290848,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150290219,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150290218,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150290216,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150290215,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150290214,16,FALSE,1,"neutraal, geen toon",0
150290213,16,FALSE,1,vooral positief,1
150288240,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150288237,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150287400,16,FALSE,1,vooral negatief,-1
150287399,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150287397,16,FALSE,1,vooral positief,1
150287396,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150287395,16,FALSE,1,"neutraal, geen toon",0
150287394,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150287391,16,FALSE,1,gemengd positief en negatief,0
150287390,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150287389,16,FALSE,1,"neutraal, geen toon",0
150287388,16,FALSE,1,"neutraal, geen toon",0
150287387,16,FALSE,1,"neutraal, geen toon",0
150287386,16,FALSE,1,"neutraal, geen toon",0
150284335,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150284334,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150282503,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150282502,16,FALSE,1,de kop is niet van toepassing op de economie,NA
150282309,16,FALSE,1,vooral negatief,-1
150282308,16,FALSE,1,"neutraal, geen toon",0
150282306,16,FALSE,1,vooral negatief,-1
150282305,16,FALSE,1,vooral positief,1
148571855,16,FALSE,1,"neutraal, geen toon",0
148571852,16,FALSE,1,gemengd positief en negatief,0
148571851,16,FALSE,1,"neutraal, geen toon",0
34569,21,FALSE,1,vooral negatief,-1
20671,21,FALSE,1,vooral negatief,-1
34577,28,FALSE,1,"neutraal, geen toon",0
10007,21,FALSE,1,"neutraal, geen toon",0
34603,21,FALSE,1,"neutraal, geen toon",0
10027,28,FALSE,1,"neutraal, geen toon",0
20755,33,FALSE,1,"neutraal, geen toon",0
150293207,9,FALSE,1,vooral positief,1
150293204,9,FALSE,1,vooral negatief,-1
150293203,9,FALSE,1,vooral negatief,-1
150293202,9,FALSE,1,vooral negatief,-1
150293201,9,FALSE,1,"neutraal, geen toon",0
150292289,9,FALSE,1,"neutraal, geen toon",0
150292288,9,FALSE,1,onzeker,0
150292287,9,FALSE,1,vooral negatief,-1
150292286,9,FALSE,1,"neutraal, geen toon",0
150292285,9,FALSE,1,"neutraal, geen toon",0
150292284,9,FALSE,1,vooral positief,1
150290845,9,FALSE,1,vooral negatief,-1
150290843,9,FALSE,1,vooral negatief,-1
150290838,9,FALSE,1,vooral positief,1
150290209,9,FALSE,1,"neutraal, geen toon",0
150290208,9,FALSE,1,"neutraal, geen toon",0
150290207,9,FALSE,1,vooral positief,1
150290205,9,FALSE,1,vooral positief,1
150290204,9,FALSE,1,vooral negatief,-1
150290202,9,FALSE,1,vooral negatief,-1
150290201,9,FALSE,1,vooral positief,1
150290200,9,FALSE,1,vooral negatief,-1
150290199,9,FALSE,1,vooral negatief,-1
150290198,9,FALSE,1,"neutraal, geen toon",0
150290196,9,FALSE,1,"neutraal, geen toon",0
150290193,9,FALSE,1,"neutraal, geen toon",0
