_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,sentiment,headline,id,sentiment_gold
2128145138,2/1/2019 21:33:40,true,4486899423,,2/1/2019 21:33:01,false,clixsense,0.9,10414542,NLD,"","",80.127.237.9,1,Droompakket Rutte II,150282313,1
2128145138,2/3/2019 15:13:15,true,4491423994,,2/3/2019 15:12:42,false,neodev,1.0,29823055,NLD,03,Zwartebroek,46.129.10.19,1,Droompakket Rutte II,150282313,1
2128145138,2/4/2019 09:23:38,true,4493009291,false,2/4/2019 09:23:22,false,clixsense,0.8333,27037105,NLD,"","",213.126.236.162,0,Droompakket Rutte II,150282313,1
2128145140,2/3/2019 15:11:22,true,4491421303,,2/3/2019 15:10:52,false,neodev,1.0,29823055,NLD,03,Zwartebroek,46.129.10.19,-1,Rentedip drama voor pensioenpotje,20641,-1
2128145140,2/4/2019 09:23:21,true,4493008763,,2/4/2019 09:23:07,false,clixsense,0.8333,27037105,NLD,"","",213.126.236.162,-1,Rentedip drama voor pensioenpotje,20641,-1
2128145141,2/1/2019 17:36:16,true,4486164140,true,2/1/2019 17:35:18,false,clixsense,0.8,32277061,NLD,"","",85.145.80.152,0,Krimp bedrijvigheid Chinese industrie,20643,-1
2128145141,2/1/2019 21:43:30,true,4486923152,,2/1/2019 21:42:49,false,clixsense,0.9,10414542,NLD,"","",80.127.237.9,-1,Krimp bedrijvigheid Chinese industrie,20643,-1
2128145141,2/4/2019 09:17:02,true,4492995238,,2/4/2019 09:16:41,false,clixsense,0.8333,27037105,NLD,"","",213.126.236.162,-1,Krimp bedrijvigheid Chinese industrie,20643,-1
2128145142,2/1/2019 21:32:22,true,4486896607,,2/1/2019 21:31:47,false,clixsense,0.9,10414542,NLD,"","",80.127.237.9,0,Van Boxtel: lager eigen risico,20647,0
2128145143,2/3/2019 12:52:51,true,4491203899,,2/3/2019 12:52:28,false,clixsense,0.9667,33644886,NLD,07,Purmerend,178.84.93.146,0,Zo ziet het verschil tussen Noord- en Zuid-Europa eruit,15011,0
2128145143,2/3/2019 15:12:40,true,4491423221,,2/3/2019 15:12:12,false,neodev,1.0,29823055,NLD,03,Zwartebroek,46.129.10.19,0,Zo ziet het verschil tussen Noord- en Zuid-Europa eruit,15011,0
2128145144,2/4/2019 09:23:05,true,4493008199,,2/4/2019 09:22:39,false,clixsense,0.8333,27037105,NLD,"","",213.126.236.162,0,Frankrijk wil nieuwe deal voor Griekenland,20661,0
2128145144,2/4/2019 11:54:16,true,4493309257,,2/4/2019 11:50:34,false,clixsense,0.9667,33644886,NLD,"","",195.169.155.61,0,Frankrijk wil nieuwe deal voor Griekenland,20661,0
2128145145,2/1/2019 17:31:12,true,4486146925,,2/1/2019 17:30:43,false,clixsense,0.8,32277061,NLD,"","",85.145.80.152,-1,Lage olieprijs nekt offshore,150292294,-1
