_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,sentiment,orig__created_at,orig__golden,orig__unit_id,_updated_at,gold,headline,id,sentiment_gold,sentiment_gold_reason
2308250226,5/26/2019 21:23:45,true,4838420328,,5/26/2019 21:19:41,false,clixsense,0.9286,10414542,NLD,"","",80.127.237.9,1,5/15/2019 13:49:25,TRUE,2289909435,5/15/2019 13:49:25,,Droompakket Rutte II,150282313,1,Droompakket is positief
2308250226,5/28/2019 06:56:54,true,4842228414,true,5/28/2019 06:56:28,false,clixsense,0.8393,27037105,NLD,"","",213.126.236.162,0,5/15/2019 13:49:25,TRUE,2289909435,5/15/2019 13:49:25,,Droompakket Rutte II,150282313,1,Droompakket is positief
2308250226,5/30/2019 12:39:04,true,4852399195,true,5/30/2019 12:38:34,false,neodev,0.8571,45299507,NLD,"","",85.144.1.210,0,5/15/2019 13:49:25,TRUE,2289909435,5/15/2019 13:49:25,,Droompakket Rutte II,150282313,1,Droompakket is positief
2308250226,6/15/2019 21:20:40,true,4900625188,false,6/15/2019 21:19:35,false,clixsense,0.9643,33644886,NLD,07,Purmerend,178.84.93.146,0,5/15/2019 13:49:25,TRUE,2289909435,5/15/2019 13:49:25,,Droompakket Rutte II,150282313,1,Droompakket is positief
2308250227,5/28/2019 06:45:48,true,4842177640,,5/28/2019 06:45:27,false,clixsense,0.8393,27037105,NLD,"","",213.126.236.162,-1,5/15/2019 13:49:25,TRUE,2289909437,5/15/2019 13:49:25,,Rentedip drama voor pensioenpotje,20641,-1,"De ontwikkeling is een ‘drama’, en dus negatief"
2308250227,6/5/2019 15:18:04,true,4873783879,,6/5/2019 15:17:39,false,clixsense,0.9643,33644886,NLD,07,Purmerend,178.84.93.146,-1,5/15/2019 13:49:25,TRUE,2289909437,5/15/2019 13:49:25,,Rentedip drama voor pensioenpotje,20641,-1,"De ontwikkeling is een ‘drama’, en dus negatief"
2308250227,6/28/2019 13:38:12,true,4927453695,,6/28/2019 13:37:43,false,clixsense,0.7778,14573640,NLD,15,Enschede,82.75.134.32,-1,5/15/2019 13:49:25,TRUE,2289909437,5/15/2019 13:49:25,,Rentedip drama voor pensioenpotje,20641,-1,"De ontwikkeling is een ‘drama’, en dus negatief"
2308250228,5/26/2019 21:44:46,true,4838445602,,5/26/2019 21:44:12,false,clixsense,0.9286,10414542,NLD,"","",80.127.237.9,-1,5/15/2019 13:49:25,TRUE,2289909438,5/15/2019 13:49:25,,Krimp bedrijvigheid Chinese industrie,20643,-1,De bedrijvigheid en industrie krimpen. Ook slecht nieuws over de Chinese economie wordt als slecht nieuws gezien
2308250228,5/28/2019 06:45:48,true,4842177647,,5/28/2019 06:45:27,false,clixsense,0.8393,27037105,NLD,"","",213.126.236.162,-1,5/15/2019 13:49:25,TRUE,2289909438,5/15/2019 13:49:25,,Krimp bedrijvigheid Chinese industrie,20643,-1,De bedrijvigheid en industrie krimpen. Ook slecht nieuws over de Chinese economie wordt als slecht nieuws gezien
2308250228,5/30/2019 12:44:09,true,4852418070,,5/30/2019 12:43:54,false,neodev,0.8571,45299507,NLD,"","",85.144.1.210,-1,5/15/2019 13:49:25,TRUE,2289909438,5/15/2019 13:49:25,,Krimp bedrijvigheid Chinese industrie,20643,-1,De bedrijvigheid en industrie krimpen. Ook slecht nieuws over de Chinese economie wordt als slecht nieuws gezien
